X,Y,Z,Cell Type
15017.807,114.66992,0,Endothelial
14731.842,149.20508,0,Endothelial
14334.391,176.578125,0,Endothelial
14670.324,184.82422,0,Endothelial
14616.68,199.25781,0,Endothelial
15227.066,224.55078,0,Endothelial
15167.352,239.13867,0,Endothelial
15252.781,242.03516,0,Endothelial
14839.754,244.40039,0,Endothelial
14786.205,247.078125,0,Endothelial
14871.639,282.42383,0,Epithelial
14503.084,288.16992,0,Endothelial
15177.705,294.6953,0,Endothelial
14728.092,318.95117,0,Endothelial
14790.771,318.52148,0,Endothelial
15247.668,319.38672,0,Endothelial
15033.02,330.921875,0,Endothelial
15089.545,341.78516,0,Endothelial
14804.412,340.69922,0,Endothelial
14755.4375,352.3828,0,Epithelial
14823.16,361.67578,0,Endothelial
15087.959,372.28125,0,Endothelial
15076.178,386.58594,0,Endothelial
15336.615,396.39648,0,Endothelial
15097.492,405.7422,0,Epithelial
14661.832,412.5918,0,Endothelial
14589.301,416.25586,0,Endothelial
14787.154,415.5996,0,Endothelial
14778.455,425.54883,0,Endothelial
15374.605,453.78906,0,Endothelial
15433.131,461.80078,0,Endothelial
14220.807,498.91797,0,Endothelial
14260.16,501.18164,0,Endothelial
14455.557,505.1875,0,Epithelial
14563.016,505.11914,0,Endothelial
15201.305,507.21484,0,Endothelial
14241.805,512.7617,0,Endothelial
15644.807,518.06445,0,Endothelial
14559.148,516.791,0,Endothelial
14245.545,524.75195,0,Endothelial
14607.102,524.27344,0,Endothelial
15113.5625,525.3008,0,Endothelial
15214.994,528.2461,0,Endothelial
15575.996,531.0078,0,Endothelial
15000.4375,543.8496,0,Endothelial
14190.594,552.43945,0,Endothelial
14645.139,556.81445,0,Endothelial
15548.154,565.46875,0,Endothelial
15265.771,566.4121,0,Endothelial
15731.258,567.0078,0,Endothelial
15291.621,569.65234,0,Endothelial
14735.273,571.7051,0,Endothelial
14269.48,587.1621,0,Endothelial
15446.328,587.7871,0,Endothelial
14367.256,588.58203,0,Endothelial
14440.4375,588.2578,0,Endothelial
15407.771,591.6211,0,Epithelial
14404.838,595.03125,0,Endothelial
14419.826,597.13477,0,Endothelial
14605.914,602.5547,0,Endothelial
14864.551,608.8496,0,Endothelial
15324.74,610.1406,0,Endothelial
14642.518,615.7988,0,Endothelial
14733.84,620.81055,0,Endothelial
14359.205,620.2754,0,Endothelial
14449.252,620.7617,0,Endothelial
14377.85,624.7715,0,Endothelial
14431.947,635.9219,0,Endothelial
14617.855,635.7246,0,Endothelial
14890.768,640.31055,0,Endothelial
15304.805,642.1504,0,Endothelial
14876.191,643.4453,0,Endothelial
14563.031,646.3789,0,Endothelial
15612.826,650.07227,0,Endothelial
14351.896,652.8672,0,Endothelial
14893.574,653.5547,0,Endothelial
14834.949,656.69727,0,Endothelial
14869.002,657.3867,0,Epithelial
14594.344,664.7051,0,Endothelial
14272.598,664.3926,0,Endothelial
14789.404,665.2324,0,Endothelial
15391.889,664.9707,0,Endothelial
14697.348,669.60547,0,Endothelial
14240.734,669.2129,0,Endothelial
15217.961,669.9785,0,Epithelial
14353.867,673.9238,0,Endothelial
14388.949,678.47656,0,Endothelial
14868.992,683.71875,0,Endothelial
14227.373,684.70703,0,Endothelial
14898.742,686.9531,0,Endothelial
14302.889,688.4258,0,Endothelial
14323.457,688.5488,0,Endothelial
14342.43,690.8262,0,Endothelial
14434.135,689.3496,0,Endothelial
15064.289,692.36523,0,Endothelial
14488.531,694.08594,0,Endothelial
14944.508,696.1094,0,Endothelial
14756.389,702.3828,0,Endothelial
14545.873,703.4531,0,Endothelial
14955.367,703.8281,0,Endothelial
14821.199,705.7578,0,Endothelial
14941.381,706.9199,0,Endothelial
15607.678,707.31445,0,Endothelial
15401.332,731.0703,0,Endothelial
14265.525,737.17773,0,Endothelial
14192.08,737.21875,0,Epithelial
15270.08,741.8789,0,Endothelial
15381.779,743.16406,0,Epithelial
14426.922,745.9785,0,Endothelial
14897.727,744.8496,0,Endothelial
14926.943,745.4297,0,Endothelial
14501.32,751.2656,0,Endothelial
14300.8125,752.4961,0,Epithelial
14575.963,752.71875,0,Endothelial
15452.42,756.834,0,Endothelial
14299.125,762.9961,0,Endothelial
14595.17,761.6992,0,Endothelial
15332.922,769.8828,0,Endothelial
15723.719,771.56445,0,Endothelial
14419.973,773.81445,0,Endothelial
14474.979,779.46875,0,Endothelial
14690.227,784.3457,0,Endothelial
14904.922,787.6289,0,Endothelial
14475.842,788.63086,0,Endothelial
14804.607,791.7832,0,Endothelial
15106.064,791.4785,0,Endothelial
14517.314,793.53125,0,Endothelial
14214.469,792.31445,0,Epithelial
15441.379,794.5117,0,Endothelial
14989.611,795.84375,0,Endothelial
15004.875,796.05664,0,Epithelial
14239.701,799.0371,0,Epithelial
14474.088,804.0488,0,Epithelial
15429.955,803.4492,0,Endothelial
16022.416,806.24023,0,Endothelial
14885.441,809.6758,0,Endothelial
14229.066,812.1504,0,Epithelial
15001.072,811.9082,0,Epithelial
15088.529,813.8125,0,Endothelial
15160.574,813.7793,0,Endothelial
14213.037,818.1211,0,Endothelial
14613.824,820.78906,0,Endothelial
15359.693,827.09766,0,Endothelial
15127.887,828.58203,0,Endothelial
15039.441,839.9219,0,Endothelial
15615.645,841.40234,0,Endothelial
14191.615,845.8633,0,Epithelial
14536.416,845.9238,0,Epithelial
14407.404,850.51953,0,Endothelial
15701.822,852.6719,0,Endothelial
15533.518,864.584,0,Endothelial
15168.273,865.3418,0,Endothelial
15314.652,870.791,0,Endothelial
14756.734,874.60156,0,Endothelial
15654.887,871.4375,0,Endothelial
14491.686,872.8789,0,Endothelial
15131.768,873.5762,0,Endothelial
14321.65,874.7949,0,Epithelial
15583.283,876.375,0,Endothelial
15735.961,877.7461,0,Endothelial
14506.041,880.8164,0,Epithelial
15360.955,882.68555,0,Endothelial
15556.354,890.46094,0,Endothelial
14625.439,890.8672,0,Epithelial
14428.781,895.7617,0,Epithelial
14363.367,896.45703,0,Epithelial
15629.592,900.9746,0,Endothelial
15654.186,902.49023,0,Endothelial
14215.943,912.52734,0,Epithelial
15406.916,912.10156,0,Endothelial
15164.236,914.25,0,Endothelial
15581.846,914.2656,0,Endothelial
15096.758,916.8086,0,Endothelial
15443.471,929.2969,0,Neutrophil
14246.344,927.9258,0,Epithelial
14199.381,934.375,0,Epithelial
15354.256,936.5117,0,Endothelial
15195.123,939.80664,0,Endothelial
14519.328,944.01953,0,Epithelial
14716.385,945.39453,0,Epithelial
15010.201,944.7051,0,Endothelial
15499.846,945.8633,0,Endothelial
14389.393,947.99805,0,Epithelial
15021.205,952.6426,0,Endothelial
14683.352,956.9863,0,Epithelial
14781.234,960.7656,0,Endothelial
14434.512,962.1699,0,Epithelial
16149.904,962.1582,0,Endothelial
15525.682,970.30273,0,Endothelial
15003.008,970.79297,0,Epithelial
15037.602,968.5215,0,Endothelial
15790.279,972.334,0,Endothelial
14289.756,974.7949,0,Epithelial
14600.299,986.15234,0,Epithelial
15032.154,986.59375,0,Endothelial
14427.623,991.2246,0,Endothelial
15609.311,991.63086,0,Endothelial
15223.652,992.8008,0,Neutrophil
16042.777,990.0508,0,Endothelial
14747.461,995.6504,0,Epithelial
14274.059,1000.05664,0,Epithelial
16110.004,1003.6367,0,Endothelial
14868.189,1004.8887,0,Endothelial
15194.975,1004.19727,0,Endothelial
14830.068,1008.709,0,Epithelial
14846.502,1009.85547,0,Endothelial
16062.402,1010.5547,0,Endothelial
15101.586,1011.7363,0,Endothelial
14516.174,1013.91406,0,Epithelial
15545.98,1014.916,0,Endothelial
15565.891,1019.1074,0,Neutrophil
16077.326,1023.7715,0,Endothelial
14889.967,1025.8555,0,Endothelial
15491.598,1028.0566,0,Endothelial
15696.404,1030.8496,0,Endothelial
15900.76,1028.8691,0,Endothelial
15132.074,1030.3457,0,Endothelial
14441.352,1032.8691,0,Epithelial
15211.596,1036.0449,0,Endothelial
14677.393,1043.1406,0,Epithelial
15919.732,1040.0957,0,Endothelial
14501.152,1045.2031,0,Epithelial
15763.016,1049.7988,0,Endothelial
14528.031,1051.0117,0,Epithelial
14665.314,1051.6445,0,Epithelial
15716.572,1057.1875,0,Endothelial
15102.266,1063.9551,0,Endothelial
14915.82,1070.4277,0,Epithelial
15429.461,1074.7285,0,Endothelial
15004.26,1074.7227,0,Endothelial
14257.482,1076.1328,0,Epithelial
15729.375,1076.6465,0,Epithelial
14480.834,1079.5762,0,Epithelial
14467.82,1079.3672,0,Epithelial
15005.463,1084.4473,0,Endothelial
14616.76,1087.4824,0,Epithelial
14275.238,1094.4805,0,Epithelial
14856.799,1098.3477,0,Epithelial
15523.588,1097.709,0,Endothelial
15247.334,1108.3926,0,Endothelial
15892.201,1108.9434,0,Endothelial
15518.922,1108.8086,0,Endothelial
14748.133,1111.7949,0,Epithelial
14938.166,1116.582,0,Endothelial
15273.689,1120.916,0,Endothelial
14902.863,1121.2207,0,Endothelial
14927.164,1125.3301,0,Endothelial
16123.4,1129.459,0,Epithelial
14998.236,1135.2012,0,Endothelial
16173.297,1135.78125,0,Epithelial
15212.84,1146.668,0,Endothelial
16208.02,1144.8691,0,Epithelial
15736.904,1146.8496,0,Endothelial
14605.631,1154.2754,0,Epithelial
15227.904,1160.1738,0,Endothelial
14283.869,1159.4805,0,Epithelial
16218.686,1164.5293,0,Epithelial
14192.039,1167.8242,0,Epithelial
14562.451,1172.7988,0,Endothelial
15131.289,1177.3828,0,Endothelial
14343.553,1177.0391,0,Epithelial
14918.143,1180.4492,0,Epithelial
15287.994,1189.2031,0,Epithelial
14244.4375,1191.166,0,Epithelial
14215.223,1189.4961,0,Epithelial
16142.441,1192.6875,0,Epithelial
14770.271,1196.2168,0,Epithelial
14990.84,1198.9355,0,Endothelial
16006.311,1198.7324,0,Endothelial
14630.164,1202.9473,0,Epithelial
14606.322,1203.7676,0,Epithelial
15216.66,1207.6172,0,Endothelial
14823.275,1208.6504,0,Epithelial
14711.516,1212.3457,0,Epithelial
14810.018,1213.6113,0,Epithelial
14416.734,1216.5469,0,Epithelial
14222.486,1219.709,0,Epithelial
14976.074,1218.5117,0,Endothelial
14909.74,1220.3965,0,Epithelial
16004.193,1221.6387,0,Epithelial
16226.252,1222.6172,0,Epithelial
14648.869,1226.877,0,Epithelial
16265.455,1228.9043,0,Epithelial
14411.996,1230.418,0,Epithelial
16134.512,1230.7344,0,Epithelial
14537.986,1229.6016,0,Epithelial
15139.355,1231.75,0,Endothelial
14434.578,1235.3672,0,Epithelial
14640.424,1235.5469,0,Epithelial
14567.621,1235.6133,0,Epithelial
14714.725,1237.9805,0,Epithelial
14875.084,1237.9004,0,Epithelial
16034.992,1241.2344,0,Epithelial
16241.211,1242.7598,0,Epithelial
15028.123,1248.0449,0,Neutrophil
15252.9,1247.875,0,Endothelial
14791.5,1248.2285,0,Neutrophil
15366.447,1259.3848,0,Endothelial
16289.5,1259.2012,0,Epithelial
14969.387,1263.2109,0,Endothelial
15077.85,1265.0781,0,Endothelial
14537.094,1274.9258,0,Epithelial
14192.611,1280.3652,0,Epithelial
14415.078,1283.2734,0,Epithelial
14956.936,1285.5059,0,Endothelial
16283.744,1289.2266,0,Epithelial
16269.703,1292.0566,0,Epithelial
14369.953,1294.1191,0,Epithelial
14824.627,1300.4277,0,Epithelial
16009.359,1297.5566,0,Epithelial
16142.16,1302.4043,0,Epithelial
15124.387,1303.4102,0,Endothelial
15369.348,1303.8047,0,Epithelial
14487.439,1306.2734,0,Epithelial
14729.896,1309.502,0,Epithelial
16126.678,1309.5918,0,Epithelial
14280.982,1311.9023,0,Epithelial
14981.998,1313.1992,0,Endothelial
16236.482,1312.4629,0,Epithelial
14406.801,1317.6816,0,Epithelial
15911.914,1318.3574,0,Endothelial
14442.625,1320.5762,0,Epithelial
15225.055,1324.5859,0,Endothelial
14914.775,1327.8398,0,Epithelial
15832.277,1325.4316,0,Endothelial
14493.592,1330.3281,0,Epithelial
15924.291,1333.6816,0,Epithelial
16068.404,1336.09375,0,Epithelial
15146.936,1342.9844,0,Endothelial
15305.273,1346.207,0,Epithelial
14576.902,1349.6465,0,Epithelial
15174.443,1355.0605,0,Endothelial
14686.904,1355.3945,0,Epithelial
15282.637,1355.8281,0,Endothelial
15519.75,1358.4102,0,Epithelial
14304.229,1361.4727,0,Epithelial
15380.654,1362.2148,0,Epithelial
14339.941,1364.2871,0,Epithelial
16294.301,1363.96875,0,Epithelial
15541.977,1367.6211,0,Epithelial
16144.127,1373.5293,0,Epithelial
15307.148,1374.8105,0,Epithelial
15547.191,1379.9082,0,Epithelial
14907.223,1383.7793,0,Epithelial
15197.609,1392.5234,0,Endothelial
16067.229,1393.123,0,Epithelial
15322.564,1394.3359,0,Endothelial
15770.309,1394.09375,0,Endothelial
14599.98,1398.498,0,Epithelial
15883.684,1399.6367,0,Epithelial
16211.588,1400.7422,0,Epithelial
15186.498,1403.0586,0,Endothelial
16155.9,1408.4238,0,Epithelial
15501.418,1410.2988,0,Epithelial
15141.271,1413.5605,0,Endothelial
15240.676,1414.3984,0,Endothelial
15728.508,1413.3652,0,Endothelial
16086.215,1418.9805,0,Epithelial
14520.979,1426.168,0,Epithelial
16293.232,1428.3301,0,Endothelial
15402.648,1425.127,0,Epithelial
15815.43,1436.5039,0,Epithelial
16106.791,1439.1777,0,Epithelial
14880.852,1440.7637,0,Epithelial
15288.107,1443.0566,0,Endothelial
15502.377,1443.4922,0,Epithelial
15865.451,1446.2832,0,Epithelial
15067.66,1447.4746,0,Endothelial
15640.965,1449.041,0,Endothelial
16288.52,1449.7871,0,Epithelial
15340.521,1454.5605,0,Endothelial
16045.756,1454.1836,0,Epithelial
16171.92,1456.8066,0,Epithelial
15743.443,1458.543,0,Endothelial
14686.404,1463.9707,0,Epithelial
15084.99,1462.6953,0,Endothelial
14996.086,1464.9082,0,Epithelial
15285.967,1467.9375,0,Endothelial
14739.91,1470.5879,0,Epithelial
15409.619,1474.8652,0,Epithelial
16166.17,1474.8047,0,Epithelial
16331.287,1476.2949,0,Endothelial
15861.713,1476.3594,0,Epithelial
15876.791,1481.4824,0,Epithelial
16180.807,1482.668,0,Epithelial
15622.588,1483.0801,0,Epithelial
15990.828,1481.40625,0,Epithelial
16061.369,1483.7051,0,Epithelial
15466.848,1486.2266,0,Epithelial
15796.939,1493.2734,0,Epithelial
16009.104,1494.5762,0,Epithelial
15278.367,1497.6172,0,Endothelial
15416.689,1503.2266,0,Epithelial
16119.621,1503.3379,0,Epithelial
14626.898,1506.3496,0,Epithelial
16174.078,1508.0742,0,Epithelial
16227.9,1510.6543,0,Epithelial
14828.764,1513.8828,0,Epithelial
15377.646,1513.9785,0,Endothelial
16025.865,1515.5859,0,Epithelial
16239.426,1515.5234,0,Epithelial
15117.586,1523.3086,0,Endothelial
15194.344,1524.2754,0,Endothelial
16109.363,1525.9121,0,Epithelial
16278.65,1525.6855,0,Endothelial
14795.922,1529.0703,0,Epithelial
15554.725,1529.5117,0,Epithelial
15634.58,1534.457,0,Epithelial
15428.473,1534.6855,0,Epithelial
15917.145,1533.2676,0,Epithelial
15593.111,1535.2832,0,Epithelial
15539.834,1536.3203,0,Epithelial
16096.27,1536.2461,0,Epithelial
16194.992,1538.3457,0,Epithelial
14815.602,1545.9395,0,Epithelial
15312.551,1545.9141,0,Endothelial
15507.5,1551.7871,0,Epithelial
16214.248,1555.998,0,Epithelial
15528.902,1556.5977,0,Epithelial
14741.342,1558.6641,0,Epithelial
16189.803,1559.0195,0,Epithelial
14928.797,1561.1133,0,Epithelial
15978.635,1565.25,0,Epithelial
14823.3125,1568.4707,0,Epithelial
14761.566,1570.0664,0,Epithelial
15788.385,1571.7598,0,Epithelial
15209.432,1572.5547,0,Endothelial
15223.098,1575.0059,0,Endothelial
14917.158,1577.0039,0,Epithelial
14944.607,1581.9961,0,Epithelial
15567.098,1582.9531,0,Epithelial
14968.904,1583.5156,0,Epithelial
15665.129,1585.3672,0,Epithelial
15238.916,1586.4004,0,Endothelial
16105.951,1586.9355,0,Epithelial
16121.076,1587.9453,0,Epithelial
15778.342,1593.6191,0,Epithelial
14727.881,1594.6875,0,Epithelial
14795.619,1596.5215,0,Epithelial
16252.799,1596.0547,0,Endothelial
15410.764,1598.8496,0,Epithelial
15070.422,1601.7207,0,Epithelial
16177.924,1599.623,0,Epithelial
14742.334,1605.2578,0,Epithelial
16305.037,1603.7871,0,Endothelial
15903.572,1603.7285,0,Epithelial
16004.176,1608.291,0,Epithelial
15371.85,1612.1934,0,Epithelial
14237.334,1610.0664,0,Epithelial
15523.051,1615.0859,0,Epithelial
14865.67,1621.4648,0,Epithelial
14904.695,1625.6367,0,Epithelial
14709.346,1626.9102,0,Epithelial
15223.436,1631.7402,0,Epithelial
16181.986,1631.3926,0,Epithelial
16243.025,1633.623,0,Endothelial
14279.625,1635.4375,0,Epithelial
14980.115,1638.4551,0,Epithelial
15349.299,1640.90625,0,Endothelial
15247.975,1641.5996,0,Endothelial
15572.256,1641.5898,0,Epithelial
14196.324,1645.2559,0,Epithelial
16263.945,1647.71875,0,Endothelial
14994.182,1649.1016,0,Epithelial
15213.727,1652.9668,0,Epithelial
15459.432,1654.1895,0,Epithelial
14846.57,1661.9727,0,Epithelial
15872.793,1661.2539,0,Epithelial
15192.738,1661.9727,0,Epithelial
15763.408,1665.9434,0,Epithelial
15883.264,1665.3457,0,Epithelial
16259.627,1665.6016,0,Endothelial
14983.855,1670.46875,0,Epithelial
16146.037,1671.4961,0,Epithelial
15208.914,1671.2324,0,Epithelial
16253.773,1675.7148,0,Endothelial
14738.889,1677.3086,0,Epithelial
16244.283,1683.5723,0,Endothelial
14898.426,1683.9473,0,Epithelial
15442.053,1686.877,0,Epithelial
14432.303,1692.6582,0,Endothelial
15294.547,1689.6875,0,Epithelial
14804.352,1690.9746,0,Epithelial
15348.229,1688.8418,0,Epithelial
14971.383,1691.5234,0,Epithelial
15147.139,1697.7598,0,Epithelial
15264.695,1697.209,0,Endothelial
15025.545,1697.666,0,Epithelial
15672.641,1698.3789,0,Epithelial
15930.285,1701.9551,0,Epithelial
16166.99,1699.0391,0,Endothelial
15441.965,1700.6113,0,Epithelial
15097.898,1705.8262,0,Epithelial
15201.23,1704.7051,0,Epithelial
14223.404,1706.9023,0,Endothelial
15733.266,1707.1367,0,Epithelial
15918.641,1707.6133,0,Epithelial
15496.918,1714.7305,0,Epithelial
14786.35,1716.0859,0,Epithelial
15197.963,1716.9414,0,Epithelial
16163.17,1717.7344,0,Endothelial
15851.289,1719.9805,0,Epithelial
14981.652,1720.1094,0,Epithelial
16046.455,1723.1348,0,Epithelial
14918.26,1727.7715,0,Epithelial
15478.357,1729.0156,0,Epithelial
15403.986,1737.2637,0,Epithelial
15186.391,1737.6836,0,Epithelial
15115.588,1740.28125,0,Epithelial
16288.814,1747.2305,0,Endothelial
16318.443,1749.3809,0,Endothelial
15764.674,1750.959,0,Epithelial
15501.066,1752.9902,0,Epithelial
