X,Y,Z,Cell Type
11015.811,2891.81,0,CD8 T cell
8008.095,2893.9624,0,Follicular DC
9622.906,2910.7593,0,CD8 T cell
7425.591,2911.4214,0,Follicular DC
10594.537,2921.6548,0,Follicular DC
8845.186,2922.2925,0,Follicular DC
10447.024,2937.1997,0,Follicular DC
7379.294,2937.983,0,Follicular DC
7577.081,2937.853,0,Follicular DC
8783.6455,2944.4897,0,Follicular DC
10630.715,2944.0005,0,Follicular DC
9689.485,2944.144,0,Follicular DC
8989.011,2953.3335,0,Follicular DC
9064.477,2974.3384,0,Follicular DC
6509.88,2976.355,0,T cell (other)
8568.126,2981.984,0,CD8 T cell
7519.177,2991.474,0,Follicular DC
7192.8413,3010.6313,0,CD8 T cell
8061.602,3011.6294,0,CD8 T cell
8258.954,3016.1694,0,CD8 T cell
9085.099,3023.7134,0,Follicular DC
8532.557,3031.1284,0,CD8 T cell
8462.872,3038.518,0,Follicular DC
9835.258,3041.7944,0,CD8 T cell
7591.403,3040.7583,0,Follicular DC
8618.178,3045.1313,0,CD8 T cell
11078.002,3046.769,0,T cell (other)
8185.1367,3060.8853,0,CD8 T cell
8349.086,3067.0532,0,CD8 T cell
10925.511,3072.2388,0,Follicular DC
7557.1997,3081.4937,0,T cell (other)
6929.73,3083.3794,0,Follicular DC
9507.181,3097.8882,0,CD8 T cell
8236.558,3101.067,0,Follicular DC
7421.299,3108.858,0,Follicular DC
7536.238,3110.8364,0,T cell (other)
9950.08,3112.2153,0,Follicular DC
6556.967,3125.0835,0,CD8 T cell
8738.217,3140.6772,0,CD8 T cell
10760.328,3143.6,0,Follicular DC
8276.515,3148.231,0,CD8 T cell
8534.962,3151.436,0,CD8 T cell
9484.439,3165.1685,0,Follicular DC
7156.55,3170.266,0,Follicular DC
7494.4165,3169.48,0,Follicular DC
10229.763,3175.146,0,Follicular DC
9604.495,3182.3325,0,CD8 T cell
6867.2456,3180.6401,0,T cell (other)
9463.407,3186.6987,0,CD8 T cell
7509.334,3191.3257,0,Follicular DC
7042.0195,3192.5044,0,Follicular DC
9569.389,3195.3892,0,CD8 T cell
7172.806,3196.5786,0,Follicular DC
9749.559,3204.0522,0,CD8 T cell
8151.39,3208.1284,0,Follicular DC
9895.456,3224.559,0,CD8 T cell
10587.194,3224.7837,0,Follicular DC
9732.008,3227.7085,0,CD8 T cell
9716.141,3238.0728,0,CD8 T cell
8378.619,3249.9927,0,CD8 T cell
9155.737,3249.2544,0,Follicular DC
8640.545,3253.0405,0,CD8 T cell
8039.344,3259.9526,0,Follicular DC
9993.488,3259.1167,0,CD8 T cell
9584.226,3272.064,0,CD8 T cell
8327.053,3268.1343,0,Follicular DC
7789.901,3298.4497,0,Follicular DC
7889.684,3299.9224,0,Follicular DC
7467.572,3301.7007,0,CD8 T cell
11004.378,3322.9956,0,Follicular DC
7356.2446,3335.8853,0,Follicular DC
7530.931,3334.9136,0,Follicular DC
9757.554,3341.8872,0,CD8 T cell
10481.84,3359.3276,0,Follicular DC
8287.363,3362.8257,0,Follicular DC
8479.182,3372.315,0,CD8 T cell
8955.746,3376.1929,0,CD8 T cell
7620.174,3377.9897,0,CD8 T cell
9131.692,3423.766,0,Follicular DC
9293.661,3425.2456,0,CD8 T cell
