Cell ID,Target ID,X1,Y1,Z1,X2,Y2,Z2
23575,334925,6966.894,6439.9224,0,6979.59375,6435.196,0
23594,287199,6972.8936,6523.012,0,6985.104,6505.3716,0
23613,191833,6994.383,6595.399,0,7017.1265,6557.8833,0
23616,334961,6977.1836,6598.364,0,6953.208,6565.5435,0
23618,47537,6943.0483,6599.809,0,6938.499,6565.774,0
23690,119615,6527.144,6875.43,0,6537.679,6840.821,0
23692,23686,6898.1953,6880.528,0,6894.947,6865.5825,0
23694,95580,6587.564,6883.3403,0,6582.231,6910.446,0
23716,167694,6925.466,6944.86,0,6928.655,6924.1177,0
23718,47644,6573.427,6952.067,0,6610.642,6957.1216,0
23729,119658,6859.6353,6995.606,0,6875.4595,6998.0747,0
23731,119658,6917.175,6996.4185,0,6875.4595,6998.0747,0
47522,47523,6899.3545,6489.934,0,6882.7124,6492.063,0
47559,287243,6761.4985,6653.731,0,6779.78,6665.2505,0
47570,287247,6788.968,6683.3833,0,6788.4775,6702.6333,0
47589,143668,6819.731,6740.5356,0,6837.2114,6731.891,0
47639,311326,6536.646,6934.9653,0,6516.3413,6941.5825,0
47648,119658,6873.307,6977.114,0,6875.4595,6998.0747,0
71477,167602,6830.864,6528.7075,0,6849.758,6543.692,0
71568,263531,6617.885,6844.887,0,6604.4536,6852.6333,0
71602,119658,6900.186,6987.27,0,6875.4595,6998.0747,0
95595,119661,6976.992,6990.9653,0,6973.518,7006.262,0
95597,95601,6490.9937,6994.387,0,6503.408,7034.844,0
119557,119570,6806.988,6612.645,0,6828.847,6645.0747,0
119586,191875,6862.414,6695.278,0,6857.449,6714.0396,0
119620,143702,6566.762,6861.1177,0,6558.9727,6849.1216,0
119625,71570,6501.711,6872.1333,0,6500.0576,6843.9067,0
119640,47644,6604.5146,6943.0864,0,6610.642,6957.1216,0
119641,215978,6630.8945,6946.684,0,6623.196,6958.9653,0
143614,334922,6931.986,6448.5396,0,6946.778,6422.149,0
143687,335004,6556.473,6798.1333,0,6568.5415,6778.145,0
143699,191899,6951.734,6826.344,0,6980.309,6801.223,0
143715,95580,6570.103,6902.3013,0,6582.231,6910.446,0
143733,119658,6835.7593,6992.649,0,6875.4595,6998.0747,0
167590,47520,6915.2295,6494.8364,0,6924.68,6481.1333,0
167593,287199,6970.744,6506.2114,0,6985.104,6505.3716,0
167609,191833,6995.261,6573.223,0,7017.1265,6557.8833,0
167668,143702,6572.9653,6831.559,0,6558.9727,6849.1216,0
167701,47644,6617.215,6944.223,0,6610.642,6957.1216,0
167705,167694,6903.994,6957.1646,0,6928.655,6924.1177,0
191825,287207,6903.7417,6526.696,0,6909.9497,6538.8286,0
191840,95494,6918.2837,6575.6567,0,6920.1665,6562.446,0
191897,335004,6575.885,6795.8013,0,6568.5415,6778.145,0
191938,287301,6869.804,6958.9263,0,6866.75,6920.6255,0
191946,119658,6888.5303,6995.403,0,6875.4595,6998.0747,0
215856,382830,6988.843,6406.61,0,6976.6963,6395.0083,0
215876,263438,6967.847,6495.114,0,6953.6426,6484.3833,0
215885,191828,6969.179,6544.602,0,6947.9365,6534.1997,0
215910,382896,6811.377,6673.102,0,6826.32,6688.688,0
215940,191902,6595.4497,6796.266,0,6592.4053,6819.8325,0
215952,143702,6552.822,6865.7544,0,6558.9727,6849.1216,0
215961,215966,6536.3345,6899.438,0,6551.0737,6913.891,0
215967,167700,6505.0986,6917.0747,0,6505.638,6942.196,0
215970,95580,6590.7886,6928.844,0,6582.231,6910.446,0
215976,215975,6389.277,6948.778,0,6401.128,6947.86,0
215980,167700,6509.9536,6967.946,0,6505.638,6942.196,0
239646,287211,6948.1343,6552.2817,0,6934.495,6552.309,0
239739,335046,6679.8804,6914.5317,0,6673.1196,6944.4185,0
239748,167709,6446.689,6943.3013,0,6435.682,6959.7935,0
239755,335054,6659.748,6960.235,0,6651.7944,6971.852,0
239756,47644,6596.461,6961.8325,0,6610.642,6957.1216,0
239762,239760,6572.5747,6980.3364,0,6608.8433,6977.059,0
263447,191827,6867.704,6521.848,0,6876.807,6530.3403,0
263465,334961,6964.3916,6581.528,0,6953.208,6565.5435,0
263476,119570,6850.6606,6633.723,0,6828.847,6645.0747,0
263478,287243,6776.242,6645.9224,0,6779.78,6665.2505,0
263536,263531,6618.1235,6869.934,0,6604.4536,6852.6333,0
263539,23685,6683.448,6884.891,0,6638.126,6882.219,0
263554,287301,6882.3105,6934.7075,0,6866.75,6920.6255,0
263559,47645,6645.84,6954.4224,0,6636.278,6963.6177,0
263565,119658,6856.032,6975.098,0,6875.4595,6998.0747,0
263566,167709,6458.1206,6979.559,0,6435.682,6959.7935,0
263572,23727,6382.403,6992.649,0,6357.2197,6985.067,0
287206,287199,6995.501,6525.688,0,6985.104,6505.3716,0
287270,95547,6827.8677,6768.1294,0,6812.2363,6781.52,0
287313,263564,6626.965,6989.219,0,6638.1035,6974.473,0
287314,23727,6363.2573,6996.3833,0,6357.2197,6985.067,0
311219,167602,6848.333,6517.4927,0,6849.758,6543.692,0
311222,287207,6927.3306,6536.1294,0,6909.9497,6538.8286,0
311238,47537,6934.5156,6581.9575,0,6938.499,6565.774,0
311241,359036,6916.5884,6595.262,0,6907.0957,6605.723,0
311284,143678,6785.9976,6767.0825,0,6801.5317,6755.3755,0
311312,263531,6604.3706,6878.02,0,6604.4536,6852.6333,0
311322,167698,6433.862,6920.52,0,6425.303,6935.981,0
311331,287301,6850.6113,6956.219,0,6866.75,6920.6255,0
311338,167709,6434.6733,6975.36,0,6435.682,6959.7935,0
311340,23722,6997.3564,6981.774,0,6988.099,6964.848,0
334948,191827,6881.193,6519.5396,0,6876.807,6530.3403,0
334958,287208,6994.8477,6548.8013,0,7015.4243,6543.1646,0
335049,335045,6950.8525,6959.5513,0,6970.3086,6938.473,0
335053,215994,6815.503,6969.5825,0,6785.0864,6998.602,0
335056,119658,6887.268,6974.9927,0,6875.4595,6998.0747,0
335057,23727,6378.498,6977.1177,0,6357.2197,6985.067,0
359011,191828,6940.7686,6522.278,0,6947.9365,6534.1997,0
359107,335046,6656.3584,6948.528,0,6673.1196,6944.4185,0
359115,215994,6789.3633,6971.8325,0,6785.0864,6998.602,0
359117,382954,6934.925,6974.059,0,6945.854,6931.262,0
359119,119661,6958.368,6979.8403,0,6973.518,7006.262,0
382855,167602,6837.3105,6512.071,0,6849.758,6543.692,0
382882,359036,6896.903,6613.0396,0,6907.0957,6605.723,0
382887,119570,6834.8623,6618.36,0,6828.847,6645.0747,0
382926,191902,6565.935,6820.0396,0,6592.4053,6819.8325,0
382929,119615,6550.7803,6831.9497,0,6537.679,6840.821,0
382939,23685,6682.0215,6861.5474,0,6638.126,6882.219,0
382940,263531,6605.1094,6864.778,0,6604.4536,6852.6333,0
382947,167686,6882.158,6886.098,0,6880.017,6904.6606,0
